Name,geo_loc
India Talcher,"(20.9458183, 85.2111736)"
India Rourkela,"(22.2309255, 84.8678705)"
India Nalco,"(20.8503108, 85.1937577786132)"
India Rayagada,"(19.1696, 83.418)"
India Bhubaneswar,"(20.2665668, 85.8437586)"
India Bhubaneshwar,"(20.2603328, 85.8393432)"
India Cuttack,"(20.4686, 85.8792)"
India Sambalpur,"(21.4, 83.883333)"
India Berhampur,"(19.3359814, 84.96653)"
India Balasore,"(21.5017098, 86.9216712)"
India Kalinga Nagar,"(17.7480904, 83.2518701)"
India Paradeep,"(20.2685001, 86.6510580246267)"
India Keonjhar,"(21.5, 85.5)"
India Konark,"(19.8899428, 86.0923104)"
India Puri,"(19.69951125, 85.8310507195972)"
India Pondichery,"(11.9340568, 79.8306447)"
India Pondicherry,"(11.9340568, 79.8306447)"
India Karaikal,"(10.91571, 79.8375761)"
India Ludhiana,"(30.9090157, 75.851601)"
India Jalandhar,"(31.3323762, 75.576889)"
India Patiala,"(30.2389556, 76.3309372129232)"
India Gobindgarh,"(30.2701316, 76.7322053)"
India Naya Nangal,"(31.3813717, 76.3454147)"
India Amritsar,"(31.6343083, 74.8736788)"
India Bathinda,"(30.2081076, 74.9485371)"
India Dera Bassi,"(30.5882408, 76.8438542)"
India Khanna,"(31.1606651, 78.1003061)"
India Dera Baba,"(28.4357457, 77.1758983)"
India Sangrur,"(30.0, 76.25)"
India Faridkot,"(30.6729772, 74.7517033)"
India Hoshiarpur,"(31.5328523, 75.9025485)"
India Kota,"(25.0, 76.5)"
India Jaipur,"(26.916194, 75.820349)"
India Alwar,"(27.5, 76.5)"
India Jodhpur,"(26.2967719, 73.0351433)"
India Chittorgarh,"(24.8837157, 74.6244155)"
India Udaipur,"(24.578721, 73.6862571)"
India Gangtok,"(27.329046, 88.6122673)"
India Madras,"(13.0801721, 80.2838331)"
India Turicorin,
India Tuticorin,"(8.8052602, 78.1452745)"
India Coimbatore,"(11.0018115, 76.9628425)"
India Madurai,"(9.9261153, 78.1140983)"
India Salem,"(11.6612012, 78.1602498)"
India Chennai,"(13.0801721, 80.2838331)"
India Thoothukudi,"(8.8052602, 78.1452745)"
India Trichy,"(10.804973, 78.6870296)"
India Mettur,"(11.8002551, 77.7979115)"
India Cuddalore,"(11.74269375, 79.7503064417193)"
India Kothur,"(16.5420783, 79.3605244)"
India Agra,"(27.1752554, 78.0098161)"
India Anpara,"(24.2055078, 82.7715236)"
India Dehradoon,
India Lucknow,"(26.8381, 80.9346001)"
India Kanpur,"(26.4609135, 80.3217588)"
India Gajroula,
India Varanasi,"(25.3356491, 83.0076292)"
"India Noida, Ghaziabad","(28.5907277, 77.3190364)"
India Ghaziabad,"(28.711241, 77.4445372)"
India Noida,"(28.5726442, 77.3547609)"
India Renusagar,"(24.18165, 82.7914375439952)"
India Gajraula,"(28.8360988, 78.2452916)"
India Firozabad,"(27.1527986, 78.3991439)"
India Jhansi,"(25.4502464, 78.5800085)"
India Khurja,"(28.2532652, 77.853916)"
India Allahabad,"(25.4381302, 81.8338005)"
India Meerut,"(28.9963296, 77.7061915)"
India Bareilly,"(28.3523609, 79.4096542)"
India Gorakhpur,"(26.916667, 83.25)"
India Mathura,"(27.4955539, 77.6855554)"
India Moradabad,"(28.8334982, 78.7732864)"
India Rai Bareilly,
India Saharanpur,"(29.9637438, 77.5427464)"
India Unnao,"(26.5, 80.5)"
India Dehradun,"(30.3255646, 78.0436813)"
India Haldwani,"(29.2151635, 79.5266898)"
India Haridwar,"(29.9384473, 78.1452985)"
India Kashipur,"(23.4339229, 86.6668896)"
India Rishikesh,"(30.1086537, 78.2916193)"
India Rudrapur,"(28.974744, 79.3963951)"
India Haldia,"(22.028124, 88.0632655)"
India Howrah,"(22.4914615, 88.0292896609555)"
India Calcutta,"(22.5677459, 88.3476023)"
